#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resource Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
#
# Support Contact: nrcsprod@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 622: Mesa Lakes, CO
#
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation
# Air Temperature Maximum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency
# Air Temperature Minimum     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency
# Air Temperature Average     Value       None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency
# Precipitation Increment     Value       None           Day                           N/A        Inches              N/A           PRCP          Total precipitation
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Mesa Lakes (622)
# Colorado  SNOTEL Site - 10000 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Mar 15, 2018 5:39:59 AM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1986-11-05,5.5,3.8,50,15,30,0.00
1986-11-06,5.5,3.8,32,15,24,0.70
1986-11-07,6.5,4.5,23,10,13,0.40
1986-11-08,7.0,4.9,18,-1,8,0.00
1986-11-09,7.2,4.9,34,-5,11,0.10
1986-11-10,7.2,5.0,30,6,16,0.00
1986-11-11,7.2,5.0,41,11,22,0.00
1986-11-12,7.2,5.0,34,10,21,0.00
1986-11-13,7.1,5.0,41,9,28,0.00
1986-11-14,7.1,5.0,27,23,24,0.00
1986-11-15,7.1,5.0,40,22,28,0.00
1986-11-16,7.1,5.0,40,23,30,0.00
1986-11-17,7.1,5.0,41,27,31,0.00
1986-11-18,7.2,5.0,44,27,33,0.60
1986-11-19,7.9,5.6,32,17,28,0.20
1986-11-20,8.0,5.8,42,12,27,0.00
1986-11-21,8.0,5.8,44,26,32,0.20
1986-11-22,8.0,6.0,27,3,15,0.00
1986-11-23,8.0,6.0,31,3,13,0.00
1986-11-24,8.0,6.0,38,15,25,0.00
1986-11-25,8.1,6.0,33,17,24,0.30
1986-11-26,8.2,6.3,27,7,18,0.00
1986-11-27,8.2,6.3,39,7,18,0.00
1986-11-28,8.2,6.3,41,15,32,0.00
1986-11-29,8.2,6.3,34,20,29,0.70
1986-11-30,9.0,7.0,20,1,14,0.10
1986-12-01,9.1,7.1,36,1,15,0.10
1986-12-02,9.1,7.2,42,10,22,0.00
1986-12-03,9.1,7.2,45,15,26,0.00
1986-12-04,9.1,7.2,40,12,26,0.00
1986-12-05,9.1,7.2,32,23,27,0.30
1986-12-06,9.3,7.5,31,22,25,0.50
1986-12-07,9.8,8.0,29,9,20,0.00
1986-12-08,9.8,8.0,35,9,19,0.10
1986-12-09,10.0,8.1,13,-14,2,0.00
1986-12-10,10.1,8.1,17,-15,1,0.10
1986-12-11,10.1,8.2,34,3,13,0.00
1986-12-12,10.2,8.2,40,2,18,0.00
1986-12-13,10.2,8.2,32,9,20,0.00
1986-12-14,10.2,8.2,33,19,24,0.00
1986-12-15,10.2,8.2,37,19,24,0.00
1986-12-16,10.2,8.2,40,9,22,0.00
1986-12-17,10.2,8.2,35,8,17,0.00
1986-12-18,10.1,8.2,37,5,19,0.00
1986-12-19,10.1,8.2,26,9,17,0.00
1986-12-20,10.0,8.2,32,4,16,0.00
1986-12-21,9.9,8.2,31,3,13,0.00
1986-12-22,9.8,8.2,36,2,12,0.00
1986-12-23,9.7,8.2,38,4,17,0.00
1986-12-24,9.7,8.2,26,-3,11,0.00
1986-12-25,9.6,8.2,27,-5,5,0.00
1986-12-26,9.5,8.2,,,,0.00
1986-12-27,9.5,8.2,27,2,15,0.00
1986-12-28,9.4,8.2,25,6,13,0.00
1986-12-29,9.3,8.2,40,6,17,0.00
1986-12-30,9.3,8.2,39,3,17,0.00
1986-12-31,9.3,8.2,33,-8,8,0.00
1987-01-01,9.3,8.2,37,8,20,0.00
1987-01-02,9.3,8.2,21,1,13,0.00
1987-01-03,9.4,8.2,27,-2,16,0.10
1987-01-04,9.4,8.3,38,24,28,0.20
1987-01-05,9.5,8.5,27,15,20,0.60
1987-01-06,10.0,9.1,27,7,15,0.20
1987-01-07,10.1,9.3,24,0,12,0.00
1987-01-08,10.1,9.3,20,-5,8,0.00
1987-01-09,10.1,9.3,23,-8,3,0.00
1987-01-10,10.1,9.3,29,1,11,0.10
1987-01-11,10.1,9.4,46,10,26,0.00
1987-01-12,10.1,9.4,33,27,31,0.00
1987-01-13,10.1,9.4,42,14,29,0.00
1987-01-14,10.1,9.4,28,3,12,0.00
1987-01-15,10.1,9.4,23,9,14,0.60
1987-01-16,10.6,10.0,17,-9,6,0.00
1987-01-17,10.6,10.0,16,-7,2,0.00
1987-01-18,10.6,10.0,14,-5,6,0.00
1987-01-19,10.6,10.0,17,-4,6,0.10
1987-01-20,10.7,10.1,22,-11,1,0.00
1987-01-21,10.7,10.1,18,-5,4,0.00
1987-01-22,10.7,10.1,40,-5,14,0.10
1987-01-23,10.7,10.2,32,14,21,0.10
1987-01-24,10.8,10.3,30,13,18,0.10
1987-01-25,10.8,10.4,32,17,22,0.00
1987-01-26,10.8,10.4,44,16,27,0.00
1987-01-27,10.8,10.4,47,19,31,0.00
1987-01-28,10.8,10.4,30,5,22,0.60
1987-01-29,11.3,11.0,31,0,15,0.00
1987-01-30,11.3,11.0,33,18,25,0.00
1987-01-31,11.3,11.0,36,11,21,0.00
1987-02-01,11.2,11.0,46,11,25,0.00
1987-02-02,11.2,11.0,45,18,30,0.00
1987-02-03,11.2,11.0,40,23,28,0.20
1987-02-04,11.3,11.2,26,7,20,0.00
1987-02-05,11.3,11.2,29,1,16,0.00
1987-02-06,11.3,11.2,43,11,25,0.00
1987-02-07,11.3,11.2,53,16,28,0.00
1987-02-08,11.3,11.2,55,13,31,0.00
1987-02-09,11.3,11.2,44,22,30,0.00
1987-02-10,11.3,11.2,43,19,28,0.20
1987-02-11,11.4,11.4,41,15,27,0.00
1987-02-12,11.4,11.4,39,19,28,0.20
1987-02-13,11.6,11.6,33,15,25,0.90
1987-02-14,12.5,12.5,,,,1.20
1987-02-15,13.7,13.7,38,3,18,0.00
1987-02-16,13.8,13.7,26,7,17,0.00
1987-02-17,13.8,13.7,24,0,12,0.00
1987-02-18,13.8,13.7,27,-3,9,0.00
1987-02-19,13.8,13.7,20,-3,8,0.00
1987-02-20,13.9,13.7,31,-6,10,0.00
1987-02-21,13.9,13.7,31,-9,6,0.00
1987-02-22,13.9,13.7,30,-7,12,0.20
1987-02-23,13.9,13.9,26,12,17,0.10
1987-02-24,14.0,14.0,24,11,15,0.80
1987-02-25,14.7,14.8,22,9,14,0.40
1987-02-26,15.1,15.2,29,2,15,0.30
1987-02-27,15.4,15.5,19,-1,7,0.10
1987-02-28,15.5,15.6,32,-5,9,0.00
1987-03-01,15.5,15.6,44,-3,15,0.00
1987-03-02,15.5,15.6,49,2,20,0.10
1987-03-03,15.5,15.7,52,3,23,0.00
1987-03-04,15.5,15.7,58,8,31,0.00
1987-03-05,15.5,15.7,58,24,41,0.00
1987-03-06,15.5,15.7,57,22,39,0.00
1987-03-07,15.5,15.7,32,17,25,0.00
1987-03-08,15.2,15.7,42,18,28,0.30
1987-03-09,15.5,16.0,36,13,25,0.30
1987-03-10,16.1,16.3,19,9,12,0.00
1987-03-11,16.1,16.3,24,14,19,0.50
1987-03-12,16.5,16.8,53,3,26,0.20
1987-03-13,16.6,17.0,44,14,30,0.00
1987-03-14,16.6,17.0,42,11,25,0.00
1987-03-15,16.6,17.0,33,19,25,0.50
1987-03-16,17.1,17.5,28,1,16,0.00
1987-03-17,17.1,17.5,23,2,16,0.00
1987-03-18,17.1,17.5,41,10,27,0.10
1987-03-19,17.1,17.6,29,19,24,0.50
1987-03-20,17.6,18.1,26,-5,13,0.00
1987-03-21,17.6,18.1,34,-4,16,0.70
1987-03-22,18.3,18.8,30,-1,17,0.00
1987-03-23,18.3,18.8,32,-4,11,0.00
1987-03-24,18.3,18.8,28,-3,10,0.00
1987-03-25,18.3,18.8,28,-2,13,0.00
1987-03-26,18.3,18.8,43,-2,19,0.50
1987-03-27,18.8,19.3,19,1,11,0.50
1987-03-28,19.1,19.8,26,-10,8,0.00
1987-03-29,19.1,19.8,21,-12,3,0.00
1987-03-30,19.1,19.8,33,-10,12,0.00
1987-03-31,19.1,19.8,49,3,24,0.00
1987-04-01,19.1,19.8,51,11,30,0.00
1987-04-02,19.0,19.8,45,5,23,0.00
1987-04-03,18.8,19.8,45,5,23,0.20
1987-04-04,18.8,20.0,36,19,27,0.00
1987-04-05,18.8,20.0,35,15,26,0.00
1987-04-06,19.0,20.0,46,9,25,0.00
1987-04-07,19.1,20.0,46,9,27,0.10
1987-04-08,19.1,20.1,49,15,31,0.00
1987-04-09,19.0,20.1,49,19,32,0.00
1987-04-10,18.8,20.1,22,14,16,0.00
1987-04-11,18.8,20.1,42,26,32,0.50
1987-04-12,18.8,20.6,28,13,20,0.20
1987-04-13,19.1,20.8,36,12,20,0.00
1987-04-14,19.3,20.8,54,10,31,0.00
1987-04-15,19.3,20.8,33,22,25,0.00
1987-04-16,18.8,20.8,60,25,41,0.00
1987-04-17,18.5,20.8,63,26,43,0.00
1987-04-18,18.5,20.8,53,31,42,0.00
1987-04-19,18.5,20.8,46,16,32,0.00
1987-04-20,18.5,20.8,33,8,18,0.00
1987-04-21,18.5,20.8,51,7,28,0.00
1987-04-22,18.5,20.8,60,17,37,0.00
1987-04-23,17.8,20.8,64,24,42,0.00
1987-04-24,16.3,20.8,65,28,43,0.20
1987-04-25,15.3,21.0,58,31,42,0.00
1987-04-26,15.3,21.0,58,28,41,0.00
1987-04-27,14.7,21.0,62,32,43,0.10
1987-04-28,13.9,21.1,61,34,44,0.00
1987-04-29,13.7,21.1,59,29,42,0.00
1987-04-30,13.4,21.1,43,37,39,0.00
1987-05-01,13.2,21.1,54,31,38,0.40
1987-05-02,13.2,21.5,43,24,30,0.80
1987-05-03,13.9,22.3,38,22,29,0.00
1987-05-04,14.0,22.3,51,25,36,0.00
1987-05-05,14.0,22.3,55,26,38,0.00
1987-05-06,13.8,22.3,56,28,41,0.00
1987-05-07,13.5,22.3,60,26,41,0.00
1987-05-08,12.6,22.3,61,28,43,0.00
1987-05-09,11.8,22.3,63,30,46,0.00
1987-05-10,10.8,22.3,62,30,43,0.00
1987-05-11,10.0,22.3,44,30,34,0.20
1987-05-12,9.8,22.5,59,34,44,0.00
1987-05-13,8.7,22.5,61,32,43,0.30
1987-05-14,8.0,22.8,62,30,45,0.00
1987-05-15,6.9,22.8,61,36,46,0.20
1987-05-16,5.8,23.0,54,35,42,0.10
1987-05-17,5.4,23.1,54,34,41,0.20
1987-05-18,4.6,23.3,52,31,39,0.50
1987-05-19,3.9,23.8,55,33,41,0.00
1987-05-20,3.3,23.8,50,32,38,0.30
1987-05-21,2.9,24.1,48,30,35,0.70
1987-05-22,3.5,24.8,55,28,38,0.20
1987-05-23,3.2,25.0,56,30,38,0.30
1987-05-24,2.7,25.3,49,27,34,0.30
1987-05-25,2.7,25.6,50,29,37,0.50
1987-05-26,2.5,26.1,40,24,30,0.30
1987-05-27,2.8,26.4,43,26,33,0.10
1987-05-28,2.8,26.5,54,26,36,0.00
1987-05-29,2.3,26.5,49,27,36,0.10
1987-05-30,1.6,26.6,56,25,41,0.10
1987-05-31,0.4,26.7,59,33,48,0.10
1987-06-01,0.0,26.8,50,37,42,0.00
1987-06-02,0.0,26.8,62,26,45,0.10
1987-06-03,0.0,26.9,62,30,47,0.10
1987-06-04,0.0,27.0,65,36,52,0.10
1987-06-05,0.0,27.1,64,35,50,0.00
1987-06-06,0.0,27.1,64,36,51,0.00
1987-06-07,0.0,27.1,60,36,46,0.20
1987-06-08,0.0,27.3,56,36,43,0.50
1987-06-09,0.0,27.8,56,36,44,0.00
1987-06-10,0.0,27.8,62,35,49,0.00
1987-06-11,0.0,27.8,66,33,51,0.00
1987-06-12,0.0,27.8,68,36,53,0.00
1987-06-13,0.0,27.8,68,37,54,0.00
1987-06-14,0.0,27.8,71,38,55,0.00
1987-06-15,0.0,27.8,67,45,55,0.00
1987-06-16,0.0,27.8,64,38,53,0.00
1987-06-17,0.0,27.8,64,35,52,0.00
1987-06-18,0.0,27.8,66,39,53,0.00
1987-06-19,0.0,27.8,67,36,53,0.00
1987-06-20,0.0,27.8,67,36,53,0.00
1987-06-21,0.0,27.8,68,36,53,0.00
1987-06-22,0.0,27.8,68,40,54,0.00
1987-06-23,0.0,27.8,68,39,55,0.00
1987-06-24,0.0,27.8,69,39,54,0.00
1987-06-25,0.0,27.8,69,40,56,0.00
1987-06-26,0.0,27.8,67,40,54,0.00
1987-06-27,0.0,27.8,72,40,58,0.00
1987-06-28,0.0,27.8,68,40,50,0.10
1987-06-29,0.0,27.9,51,39,44,0.00
1987-06-30,0.0,27.9,64,37,50,0.00
1987-07-01,0.0,27.9,68,38,54,0.00
1987-07-02,0.0,27.9,69,38,56,0.00
1987-07-03,0.0,27.9,70,39,57,0.00
1987-07-04,0.0,27.9,67,41,55,0.00
1987-07-05,0.0,27.9,69,36,56,0.00
1987-07-06,0.0,27.9,69,40,56,0.00
1987-07-07,0.0,27.9,67,40,54,0.00
1987-07-08,0.0,27.9,70,39,57,0.00
1987-07-09,0.0,27.9,70,49,59,0.00
1987-07-10,0.0,27.9,65,47,55,0.00
1987-07-11,0.0,27.9,56,38,47,0.30
1987-07-12,0.0,28.2,60,35,46,0.00
1987-07-13,0.0,28.2,63,34,49,0.00
1987-07-14,0.0,28.2,69,38,54,0.00
1987-07-15,0.0,28.2,72,38,56,0.00
1987-07-16,0.0,28.2,71,42,57,0.00
1987-07-17,0.0,28.2,50,41,44,0.60
1987-07-18,0.0,28.8,,,,0.00
1987-07-19,0.0,28.8,64,40,51,0.00
1987-07-20,0.0,28.8,65,40,51,0.00
1987-07-21,0.0,28.8,69,42,56,0.00
1987-07-22,0.0,28.8,71,44,58,0.00
1987-07-23,0.0,28.8,73,39,58,0.00
1987-07-24,0.0,28.8,76,43,61,0.00
1987-07-25,0.0,28.8,71,47,58,0.10
1987-07-26,0.0,28.9,70,44,54,0.30
1987-07-27,0.0,29.2,69,43,55,0.00
1987-07-28,0.0,29.2,53,44,48,0.00
1987-07-29,0.0,29.2,67,47,54,0.10
1987-07-30,0.0,29.3,69,48,56,0.00
1987-07-31,0.0,29.3,53,39,48,0.20
1987-08-01,0.0,29.5,69,39,53,0.00
1987-08-02,0.0,29.5,72,41,57,0.00
1987-08-03,0.0,29.5,71,44,57,0.00
1987-08-04,0.0,29.5,73,42,58,0.00
1987-08-05,0.0,29.5,73,43,58,0.00
1987-08-06,0.0,29.5,70,47,58,0.60
1987-08-07,0.0,30.1,64,42,51,0.20
1987-08-08,0.0,30.3,65,40,51,0.00
1987-08-09,0.0,30.3,67,36,51,0.00
1987-08-10,0.0,30.3,65,40,52,0.00
1987-08-11,0.0,30.3,67,40,52,0.00
1987-08-12,0.0,30.3,69,39,52,0.00
1987-08-13,0.0,30.3,63,40,48,0.00
1987-08-14,0.0,30.3,63,42,51,0.00
1987-08-15,0.0,30.3,60,40,49,0.00
1987-08-16,0.0,30.3,,,,0.00
1987-08-17,0.0,30.3,69,37,53,0.00
1987-08-18,0.0,30.3,69,35,52,0.00
1987-08-19,0.0,30.3,74,38,56,0.00
1987-08-20,0.0,30.3,67,47,55,0.00
1987-08-21,0.0,30.3,67,47,54,0.10
1987-08-22,0.0,30.4,58,43,50,0.10
1987-08-23,0.0,30.5,52,44,46,0.50
1987-08-24,0.0,31.0,50,40,44,0.90
1987-08-25,0.0,31.9,52,32,41,0.50
1987-08-26,0.0,32.4,54,30,40,0.00
1987-08-27,0.0,32.4,58,31,42,0.00
1987-08-28,0.0,32.4,61,31,45,0.00
1987-08-29,0.0,32.4,61,35,47,0.00
1987-08-30,0.0,32.4,66,33,49,0.00
1987-08-31,0.0,32.4,67,37,51,0.00
1987-09-01,0.0,32.4,69,38,53,0.00
1987-09-02,0.0,32.4,69,44,54,0.00
1987-09-03,0.0,32.4,66,39,52,0.10
1987-09-04,0.0,32.5,55,39,45,0.00
1987-09-05,0.0,32.5,58,32,43,0.00
1987-09-06,0.0,32.5,61,33,44,0.00
1987-09-07,0.0,32.5,55,34,42,0.00
1987-09-08,0.0,32.5,59,31,44,0.00
1987-09-09,0.0,32.5,61,34,46,0.00
1987-09-10,0.0,32.5,61,33,46,0.00
1987-09-11,0.0,32.5,63,33,46,0.00
1987-09-12,0.0,32.5,63,35,50,0.00
1987-09-13,0.0,32.5,52,34,41,0.40
1987-09-14,0.0,32.9,51,29,36,0.10
1987-09-15,0.0,33.0,53,28,39,0.00
1987-09-16,0.0,33.0,60,35,45,0.00
1987-09-17,0.0,33.0,55,29,40,0.00
1987-09-18,0.0,33.0,59,27,40,0.00
1987-09-19,0.0,33.0,59,28,42,0.00
1987-09-20,0.0,33.0,60,30,43,0.00
1987-09-21,0.0,33.0,59,31,43,0.00
1987-09-22,0.0,33.0,64,29,46,0.00
1987-09-23,0.0,33.0,66,32,47,0.00
1987-09-24,0.0,33.0,68,33,49,0.00
1987-09-25,0.0,33.0,58,34,43,0.00
1987-09-26,0.0,33.0,,,,0.00
1987-09-27,0.0,33.0,58,29,43,0.00
1987-09-28,0.0,33.0,56,26,39,0.00
1987-09-29,0.0,33.0,60,24,41,0.00
1987-09-30,0.0,33.0,63,29,44,0.00
1987-10-01,0.0,0.0,60,28,43,0.00
1987-10-02,0.0,0.0,64,30,45,0.00
1987-10-03,0.0,0.0,65,30,45,0.00
1987-10-04,0.0,0.0,62,29,45,0.00
1987-10-05,0.0,0.0,59,31,43,0.00
1987-10-06,0.0,0.0,60,31,43,0.00
1987-10-07,0.0,0.0,64,30,46,0.00
1987-10-08,0.0,0.0,62,34,45,0.00
1987-10-09,0.0,0.0,60,32,44,0.00
1987-10-10,0.0,0.0,59,33,44,0.00
1987-10-11,0.0,0.0,59,29,41,0.00
1987-10-12,0.0,0.0,56,29,44,0.00
1987-10-13,0.0,0.0,41,29,35,0.50
1987-10-14,0.0,0.5,39,30,32,0.30
1987-10-15,0.1,0.8,45,26,32,0.00
1987-10-16,0.0,0.8,47,20,32,0.00
1987-10-17,0.0,0.8,50,22,34,0.00
1987-10-18,0.0,0.8,49,24,33,0.00
1987-10-19,0.0,0.8,47,21,31,0.00
1987-10-20,0.0,0.8,49,19,30,0.00
1987-10-21,0.0,0.8,28,24,26,0.00
1987-10-22,0.0,0.8,51,25,35,0.00
1987-10-23,0.0,0.8,45,28,35,0.00
1987-10-24,0.0,0.8,43,31,34,0.50
1987-10-25,0.0,1.3,41,24,31,0.00
1987-10-26,0.0,1.3,46,24,32,0.00
1987-10-27,0.0,1.3,49,25,35,0.00
1987-10-28,0.0,1.3,54,28,41,0.00
1987-10-29,0.0,1.3,47,31,38,0.50
1987-10-30,0.2,1.8,38,24,30,0.00
1987-10-31,0.2,1.8,43,20,32,0.10
1987-11-01,0.3,1.9,46,31,35,0.40
1987-11-02,0.3,2.3,38,27,30,0.10
1987-11-03,0.4,2.4,41,22,31,0.00
1987-11-04,0.4,2.4,49,21,32,0.00
1987-11-05,0.4,2.4,49,28,38,0.50
1987-11-06,0.7,2.9,37,22,28,0.20
1987-11-07,0.7,3.1,37,21,25,0.40
1987-11-08,0.9,3.5,46,13,24,0.00
1987-11-09,0.8,3.5,49,10,26,0.00
1987-11-10,0.7,3.5,36,21,28,0.00
1987-11-11,0.7,3.5,39,13,23,0.00
1987-11-12,0.7,3.5,47,12,26,0.00
1987-11-13,0.7,3.5,46,19,29,0.30
1987-11-14,1.3,3.8,29,16,25,1.10
1987-11-15,2.2,4.9,15,-1,11,0.00
1987-11-16,2.2,4.9,31,-5,10,0.10
1987-11-17,2.3,5.0,21,-5,10,0.40
1987-11-18,2.8,5.4,33,-6,10,0.10
1987-11-19,2.8,5.5,44,5,18,0.00
1987-11-20,2.8,5.5,47,13,28,0.10
1987-11-21,2.9,5.6,37,8,23,0.00
1987-11-22,2.9,5.6,36,6,18,0.10
1987-11-23,2.9,5.7,32,14,21,0.00
1987-11-24,3.0,5.7,32,6,18,0.00
1987-11-25,3.0,5.7,33,17,23,0.10
1987-11-26,3.2,5.8,21,2,15,0.20
1987-11-27,3.3,6.0,28,0,9,0.00
1987-11-28,3.3,6.0,42,1,18,0.00
1987-11-29,3.4,6.0,39,1,18,0.00
1987-11-30,3.4,6.0,32,0,10,0.00
1987-12-01,3.4,6.0,38,0,16,0.00
1987-12-02,3.4,6.0,38,18,28,0.00
1987-12-03,3.4,6.0,50,28,36,0.00
1987-12-04,3.4,6.0,51,31,37,0.00
1987-12-05,3.3,6.0,35,15,27,0.40
1987-12-06,3.8,6.4,38,14,26,0.10
1987-12-07,3.8,6.5,30,11,23,0.60
1987-12-08,4.4,7.1,22,0,13,0.00
1987-12-09,4.4,7.1,28,10,19,0.00
1987-12-10,4.4,7.1,43,22,31,0.00
1987-12-11,4.5,7.1,31,-2,17,0.00
1987-12-12,4.6,7.1,11,-8,-1,0.10
1987-12-13,4.7,7.2,16,-5,2,0.00
1987-12-14,4.7,7.2,10,-16,-3,0.00
1987-12-15,4.7,7.2,18,-14,0,0.10
1987-12-16,4.7,7.3,26,9,18,0.30
1987-12-17,4.9,7.6,37,14,23,0.10
1987-12-18,5.1,7.7,29,18,22,0.20
1987-12-19,5.3,7.9,23,11,16,0.10
1987-12-20,5.4,8.0,24,-6,9,0.10
1987-12-21,5.4,8.1,23,7,15,0.00
